year,gender,series,ours,pub,diff_abs,fail
1971,Female,epop_all,0.403603021367694,0.403603,2.136769400307159e-8,FALSE
1972,Female,epop16_24,0.46432166755492393,0.4643217,3.2445076070253265e-8,FALSE
1972,Female,epop25_54,0.4853844721653323,0.4853845,2.7834667681858605e-8,FALSE
1972,Female,epop55_64,0.4069020073173143,0.406902,7.317314310029133e-9,FALSE
1972,Female,epop65,0.08988283588471735,0.0898828,3.588471735038734e-8,FALSE
1972,Female,epop_all,0.40969982959758816,0.4096998,2.9597588158125632e-8,FALSE
1973,Female,epop16_24,0.48788265306122447,0.4878826,5.3061224469797e-8,FALSE
1973,Female,epop25_54,0.5003524712148508,0.5003524,7.121485079419898e-8,FALSE
1973,Female,epop55_64,0.3993197278911565,0.3993197,2.7891156495485347e-8,FALSE
1973,Female,epop65,0.08601521357519017,0.0860152,1.3575190166426054e-8,FALSE
1973,Female,epop_all,0.42051618210328784,0.4205162,1.7896712167786433e-8,FALSE
1974,Female,epop16_24,0.495871533511759,0.4958715,3.3511758978921335e-8,FALSE
1974,Female,epop25_54,0.5122225919574065,0.5122226,8.042593480084292e-9,FALSE
1974,Female,epop55_64,0.3935626867109955,0.3935627,1.3289004507921476e-8,FALSE
1974,Female,epop65,0.0785110533159948,0.0785111,4.668400520324578e-8,FALSE
1974,Female,epop_all,0.4257902634001185,0.4257903,3.6599881514387533e-8,FALSE
1975,Female,epop16_24,0.48321249302844393,0.4832125,6.971556054669037e-9,FALSE
1975,Female,epop25_54,0.5095969773299748,0.509597,2.2670025190407728e-8,FALSE
1975,Female,epop55_64,0.38880469785944305,0.3888047,2.1405569539112435e-9,FALSE
1975,Female,epop65,0.0780399274047187,0.0780399,2.740471870266159e-8,FALSE
1975,Female,epop_all,0.4203386057555558,0.4203386,5.755555809727753e-9,FALSE
1976,Female,epop16_24,0.4957789716039908,0.495779,2.8396009210673867e-8,FALSE
1976,Female,epop25_54,0.5291874086732545,0.5291874,8.673254558999588e-9,FALSE
1976,Female,epop55_64,0.3898715323031093,0.3898715,3.230310929858149e-8,FALSE
1976,Female,epop65,0.0780506523407521,0.0780507,4.76592478954041e-8,FALSE
1976,Female,epop_all,0.432280224781833,0.4322802,2.4781832974607454e-8,FALSE
1977,Female,epop16_24,0.5122953034643031,0.5122953,3.464303066635921e-9,FALSE
1977,Female,epop25_54,0.5476068812808721,0.5476069,1.8719127914401668e-8,FALSE
1977,Female,epop55_64,0.3911334552102377,0.3911335,4.4789762343455664e-8,FALSE
1977,Female,epop65,0.07721804511278195,0.077218,4.511278195451496e-8,FALSE
1977,Female,epop_all,0.4447757633587786,0.4447758,3.664122139035442e-8,FALSE
1978,Female,epop16_24,0.5380460937917758,0.5380461,6.208224156978304e-9,FALSE
1978,Female,epop25_54,0.5726469182990922,0.5726469,1.829909224149162e-8,FALSE
1978,Female,epop55_64,0.39989206691851054,0.3998921,3.308148943670375e-8,FALSE
1978,Female,epop65,0.07987992385415141,0.0798799,2.385415140415681e-8,FALSE
1978,Female,epop_all,0.46369101327677326,0.463691,1.3276773236370332e-8,FALSE
1979,Female,epop16_24,0.5482020502469858,0.548202,5.0246985794366594e-8,FALSE
1979,Female,epop25_54,0.5903309676059307,0.590331,3.2394069315877516e-8,FALSE
1979,Female,epop55_64,0.4042289657613023,0.404229,3.4238697710353705e-8,FALSE
1979,Female,epop65,0.08016546608658441,0.0801655,3.3913415589670315e-8,FALSE
1979,Female,epop_all,0.47460964488047536,0.4746096,4.488047533612871e-8,FALSE
1980,Female,epop16_24,0.538766869542207,0.5387669,3.0457793065430394e-8,FALSE
